"id","year","month","day","from_time","to_time","court","odds","created_at","updated_at","delete_flg","apply_court","empty_court"
101,2020,2,15,9,11,"3",8.38,2020/01/04 17:37:51.985,2020/01/10 20:50:18.713,"0",67,8
102,2020,2,15,11,13,"3",13.50,2020/01/04 17:37:52.159,2020/01/10 20:50:18.802,"0",108,8
103,2020,2,15,13,16,"3",19.12,2020/01/04 17:37:52.275,2020/01/10 20:50:18.970,"0",153,8
104,2020,2,16,9,11,"0",4.88,2020/01/04 17:38:06.193,2020/01/10 20:50:27.576,"0",39,8
105,2020,2,16,11,13,"0",5.62,2020/01/04 17:38:06.311,2020/01/10 20:50:27.710,"0",45,8
20,2020,2,1,9,11,"1",4.56,2020/01/04 17:24:57.640,2020/01/10 20:47:24.089,"0",73,16
35,2020,2,2,9,11,"1",6.00,2020/01/04 17:26:01.375,2020/01/10 20:47:59.042,"0",96,16
63,2020,2,9,17,19,"0",6.75,2020/01/04 17:36:08.107,2020/01/10 20:48:52.799,"0",54,8
80,2020,2,11,9,11,"1",5.00,2020/01/04 17:36:51.181,2020/01/10 20:49:30.233,"0",80,16
83,2020,2,11,9,11,"2",6.62,2020/01/04 17:36:57.827,2020/01/10 20:49:38.932,"0",53,8
132,2020,2,22,11,13,"3",11.38,2020/01/04 17:39:26.188,2020/01/10 20:51:27.409,"0",91,8
158,2020,2,24,9,11,"2",6.25,2020/01/04 18:22:38.985,2020/01/10 20:52:38.653,"0",50,8
160,2020,2,24,13,16,"2",8.75,2020/01/04 18:22:39.169,2020/01/10 20:52:38.832,"0",70,8
162,2020,2,24,11,13,"3",8.38,2020/01/04 18:22:46.135,2020/01/10 20:52:46.993,"0",67,8
190,2020,3,1,11,13,"2",8.12,2020/02/01 8:12:28.420,2020/02/10 19:23:23.504,"0",65,8
196,2020,3,1,15,17,"3",12.75,2020/02/01 8:12:35.703,2020/02/10 19:23:26.850,"0",102,8
197,2020,3,7,9,11,"0",9.12,2020/02/01 8:12:42.716,2020/02/10 19:23:29.516,"0",73,8
198,2020,3,7,11,13,"0",9.38,2020/02/01 8:12:42.880,2020/02/10 19:23:29.601,"0",75,8
199,2020,3,7,13,15,"0",9.75,2020/02/01 8:12:42.977,2020/02/10 19:23:29.684,"0",78,8
200,2020,3,7,15,17,"0",7.50,2020/02/01 8:12:43.072,2020/02/10 19:23:29.773,"0",60,8
201,2020,3,7,17,19,"0",2.62,2020/02/01 8:12:43.155,2020/02/10 19:23:29.858,"0",21,8
194,2020,3,1,11,13,"3",8.25,2020/02/01 8:12:35.527,2020/02/10 19:23:26.672,"0",66,8
195,2020,3,1,13,15,"3",9.00,2020/02/01 8:12:35.615,2020/02/10 19:23:26.761,"0",72,8
202,2020,3,7,19,21,"0",0.50,2020/02/01 8:12:43.242,2020/02/10 19:23:29.942,"0",4,8
203,2020,3,7,9,11,"1",14.25,2020/02/01 8:13:02.898,2020/02/10 19:23:32.654,"0",57,4
204,2020,3,7,11,13,"1",12.75,2020/02/01 8:13:03.059,2020/02/10 19:23:32.749,"0",51,4
205,2020,3,7,13,15,"1",10.50,2020/02/01 8:13:03.145,2020/02/10 19:23:32.835,"0",84,8
206,2020,3,7,15,17,"1",14.38,2020/02/01 8:13:03.231,2020/02/10 19:23:32.919,"0",115,8
208,2020,3,7,11,13,"2",7.12,2020/02/01 8:13:12.789,2020/02/10 19:23:35.572,"0",57,8
209,2020,3,7,13,15,"2",8.62,2020/02/01 8:13:12.933,2020/02/10 19:23:35.654,"0",69,8
210,2020,3,7,15,17,"2",7.00,2020/02/01 8:13:13.053,2020/02/10 19:23:35.739,"0",56,8
211,2020,3,7,9,11,"3",10.00,2020/02/01 8:13:26.048,2020/02/10 19:23:38.297,"0",80,8
212,2020,3,7,11,13,"3",11.25,2020/02/01 8:13:26.213,2020/02/10 19:23:38.379,"0",90,8
213,2020,3,7,13,15,"3",12.50,2020/02/01 8:13:26.310,2020/02/10 19:23:38.464,"0",100,8
214,2020,3,7,15,17,"3",13.12,2020/02/01 8:13:26.417,2020/02/10 19:23:38.548,"0",105,8
215,2020,3,8,9,11,"0",6.75,2020/02/01 8:13:39.529,2020/02/10 19:23:41.306,"0",54,8
216,2020,3,8,11,13,"0",6.88,2020/02/01 8:13:39.693,2020/02/10 19:23:41.389,"0",55,8
217,2020,3,8,13,15,"0",9.00,2020/02/01 8:13:39.807,2020/02/10 19:23:41.472,"0",72,8
218,2020,3,8,15,17,"0",7.88,2020/02/01 8:13:39.904,2020/02/10 19:23:41.567,"0",63,8
219,2020,3,8,17,19,"0",4.00,2020/02/01 8:13:39.995,2020/02/10 19:23:41.650,"0",32,8
220,2020,3,8,19,21,"0",0.88,2020/02/01 8:13:40.081,2020/02/10 19:23:41.733,"0",7,8
221,2020,3,8,9,11,"1",15.25,2020/02/01 8:13:47.527,2020/02/10 19:23:44.431,"0",61,4
222,2020,3,8,11,13,"1",21.00,2020/02/01 8:13:47.642,2020/02/10 19:23:44.659,"0",84,4
223,2020,3,8,13,15,"1",28.75,2020/02/01 8:13:47.777,2020/02/10 19:23:44.817,"0",115,4
225,2020,3,8,9,11,"2",11.25,2020/02/01 8:13:55.094,2020/02/10 19:23:47.688,"0",90,8
226,2020,3,8,11,13,"2",8.50,2020/02/01 8:13:55.183,2020/02/10 19:23:47.770,"0",68,8
227,2020,3,8,13,15,"2",11.50,2020/02/01 8:13:55.266,2020/02/10 19:23:47.854,"0",92,8
228,2020,3,8,15,17,"2",6.62,2020/02/01 8:13:55.349,2020/02/10 19:23:47.935,"0",53,8
229,2020,3,8,9,11,"3",11.50,2020/02/01 8:14:06.796,2020/02/10 19:23:50.443,"0",92,8
230,2020,3,8,11,13,"3",10.00,2020/02/01 8:14:06.886,2020/02/10 19:23:50.559,"0",80,8
231,2020,3,8,13,15,"3",9.25,2020/02/01 8:14:06.976,2020/02/10 19:23:50.674,"0",74,8
232,2020,3,8,15,17,"3",11.12,2020/02/01 8:14:07.069,2020/02/10 19:23:50.763,"0",89,8
233,2020,3,14,9,11,"0",10.00,2020/02/01 8:14:17.326,2020/02/10 19:23:55.622,"0",80,8
234,2020,3,14,11,13,"0",7.50,2020/02/01 8:14:17.414,2020/02/10 19:23:55.704,"0",60,8
235,2020,3,14,13,15,"0",11.00,2020/02/01 8:14:17.498,2020/02/10 19:23:55.789,"0",88,8
236,2020,3,14,15,17,"0",9.38,2020/02/01 8:14:17.580,2020/02/10 19:23:55.873,"0",75,8
237,2020,3,14,17,19,"0",4.12,2020/02/01 8:14:17.664,2020/02/10 19:23:55.981,"0",33,8
238,2020,3,14,19,21,"0",2.50,2020/02/01 8:14:17.749,2020/02/10 19:23:56.091,"0",20,8
240,2020,3,14,11,13,"1",5.56,2020/02/01 8:14:25.032,2020/02/10 19:23:59.079,"0",89,16
241,2020,3,14,13,15,"1",6.81,2020/02/01 8:14:25.116,2020/02/10 19:23:59.172,"0",109,16
242,2020,3,14,15,17,"1",5.25,2020/02/01 8:14:25.202,2020/02/10 19:23:59.262,"0",84,16
245,2020,3,14,13,15,"2",8.12,2020/02/01 8:14:34.389,2020/02/10 19:24:02.397,"0",65,8
246,2020,3,14,15,17,"2",5.50,2020/02/01 8:14:34.475,2020/02/10 19:24:02.483,"0",44,8
247,2020,3,14,9,11,"3",13.62,2020/02/01 8:14:45.296,2020/02/10 19:24:05.131,"0",109,8
248,2020,3,14,11,13,"3",17.25,2020/02/01 8:14:45.381,2020/02/10 19:24:05.296,"0",138,8
